Accepted_SPNAME,BloomColors
Crataegus succulenta,White
Crataegus succulenta,Pink
Crataegus succulenta,Yellow
Crataegus uniflora,White
Crataegus vailiae,White
Crataegus viridis,White
Crepis occidentalis,Yellow
Crinum americanum,White
Crocanthemum canadense,Yellow
Crocanthemum glomeratum,Yellow
Crotalaria sagittalis,Yellow
Cryptantha barbigera,White
Cryptantha barbigera,Yellow
Cryptogramma acrostichoides,Not Applicable
Cryptogramma stelleri,Not Applicable
Cryptotaenia canadensis,White
Ctenium aromaticum,Green
Ctenium aromaticum,Brown
Cucurbita digitata,Yellow
Cucurbita foetidissima,Yellow
Cucurbita palmata,Yellow
Cunila origanoides,White
Cunila origanoides,Pink
Cunila origanoides,Purple
Cupania glabra,White
Cuphea strigulosa,
Cuphea viscosissima,Purple
Cuphea viscosissima,Red
Cupressus arizonica,
Cupressus glabra,
Cupressus goveniana,
Cupressus macnabiana,
Cupressus macrocarpa,
Cupressus nootkatensis,
Cuscuta americana,White
Cuscuta americana,Yellow
Cuscuta gronovii,White
Cuscuta indecora,White
Cyanococcus canadensis,
Cyclachaena xanthiifolia,White
Cylindropuntia acanthocarpa,White
Cylindropuntia acanthocarpa,Yellow
Cylindropuntia acanthocarpa,Green
Cylindropuntia acanthocarpa,Red
Cylindropuntia arbuscula,Orange
Cylindropuntia arbuscula,Green
Cylindropuntia bigelovii,White
Cylindropuntia bigelovii,Yellow
Cylindropuntia bigelovii,Green
Cylindropuntia fulgida,Pink
Cylindropuntia fulgida,Green
Cylindropuntia fulgida,Purple
Cylindropuntia imbricata,Pink
Cylindropuntia imbricata,Purple
Cylindropuntia imbricata,Red
Cylindropuntia leptocaulis,Yellow
Cylindropuntia leptocaulis,Green
Cylindropuntia tunicata,Yellow
Cylindropuntia tunicata,Green
Cylindropuntia whipplei,Yellow
Cymophyllus fraserianus,White
Cymophyllus fraserianus,Green
Cynanchum laeve,
Cynoglossum grande,Blue
Cynoglossum grande,Purple
Cynoglossum virginianum,
Cyperus compressus,White
Cyperus compressus,Green
Cyperus compressus,Brown
Cyperus distans,Green
Cyperus distans,Brown
Cyperus distans,Red
Cyperus echinatus,Green
Cyperus echinatus,Brown
Cyperus erythrorhizos,
Cyperus flavescens,Yellow
Cyperus flavescens,Green
Cyperus flavescens,Brown
Cyperus flavescens,Red
Cyperus haspan,Green
Cyperus haspan,Brown
Cyperus odoratus,White
Cyperus odoratus,Green
Cyperus odoratus,Brown
Cyperus retrofractus,Green
Cyperus retrofractus,Brown
Cyperus retrofractus,Purple
Cyperus strigosus,Green
Cyperus strigosus,Brown
Cypripedium acaule,Pink
Cypripedium acaule,Green
Cypripedium acaule,Brown
Cypripedium acaule,Purple
Cypripedium arietinum,White
Cypripedium arietinum,Green
Cypripedium arietinum,Purple
Cypripedium arietinum,Brown
Cypripedium arietinum,Red
Cypripedium californicum,White
Cypripedium californicum,Yellow
Cypripedium californicum,Green
Cypripedium candidum,White
Cypripedium candidum,Green
Cypripedium candidum,Purple
Cypripedium candidum,Yellow
Cypripedium candidum,Brown
Cypripedium fasciculatum,Yellow
Cypripedium fasciculatum,Green
Cypripedium fasciculatum,Brown
Cypripedium fasciculatum,Purple
Cypripedium kentuckiense,White
Cypripedium kentuckiense,Yellow
Cypripedium kentuckiense,Brown
Cypripedium kentuckiense,Red
Cypripedium montanum,White
Cypripedium montanum,Green
Cypripedium montanum,Purple
Cypripedium parviflorum,Yellow
Cypripedium parviflorum,Green
Cypripedium parviflorum,Brown
Cypripedium parviflorum,Purple
Cypripedium reginae,White
Cypripedium reginae,Pink
Cypripedium reginae,Purple
Cyrilla racemiflora,White
Cyrtopodium punctatum,Orange
Cyrtopodium punctatum,Yellow
Cyrtopodium punctatum,Purple
Cyrtopodium punctatum,Red
Cyrtorhyncha ranunculina,Yellow
Cystopteris bulbifera,Not Applicable
Cystopteris fragilis,Not Applicable
Dactylorhiza viridis,Yellow
Dactylorhiza viridis,Green
Dactylorhiza viridis,Brown
Dalea bicolor,White
Dalea bicolor,Violet
Dalea bicolor,Purple
Dalea bicolor,Pink
Dalea bicolor,Yellow
Dalea bicolor,Blue
Dalea bicolor,Red
Dalea candida,White
Dalea compacta,White
Dalea compacta,Purple
Dalea enneandra,White
Dalea foliosa,Pink
Dalea foliosa,Purple
Dalea frutescens,Purple
Dalea greggii,Purple
Dalea pinnata,White
Dalea purpurea,Purple
Dalea villosa,White
Dalea villosa,Pink
Dalea villosa,Purple
Danthonia spicata,Green
Darlingtonia californica,Yellow
Darlingtonia californica,Green
Darlingtonia californica,Red
Darmera peltata,White
Darmera peltata,Pink
Dasiphora floribunda,
Dasiphora fruticosa,Yellow
Dasistoma macrophylla,Yellow
Dasylirion texanum,White
Dasylirion texanum,Yellow
Dasylirion texanum,Green
Dasylirion wheeleri,Yellow
Datura quercifolia,White
Datura quercifolia,Violet
Datura quercifolia,Purple
Datura wrightii,White
Datura wrightii,Violet
Datura wrightii,Purple
Davallia denticulata,
Davallia repens,
Davallia solida,
Decodon verticillatus,Pink
Decodon verticillatus,Red
Decodon verticillatus,Purple
Decumaria barbara,
Delphinium bicolor,Blue
Delphinium bicolor,Purple
Delphinium cardinale,Red
Delphinium carolinianum,White
Delphinium carolinianum,Blue
Delphinium carolinianum,Violet
Delphinium carolinianum,white
Delphinium decorum,White
Delphinium decorum,Blue
Delphinium decorum,Purple
Delphinium exaltatum,White
Delphinium exaltatum,Blue
Delphinium exaltatum,Purple
Delphinium geyeri,White
Delphinium geyeri,Blue
Delphinium glaucum,Blue
Delphinium glaucum,Purple
Delphinium hansenii,White
Delphinium hansenii,Violet
Delphinium hesperium,White
Delphinium hesperium,Blue
Delphinium luteum,White
Delphinium luteum,Yellow
Delphinium menziesii,White
Delphinium menziesii,Yellow
Delphinium menziesii,Blue
Delphinium menziesii,Purple
Delphinium nudicaule,Orange
Delphinium nudicaule,Red
Delphinium parryi,Blue
Delphinium parryi,Purple
Delphinium scopulorum,White
Delphinium scopulorum,Blue
Delphinium tricorne,White
Delphinium tricorne,Pink
Delphinium tricorne,Blue
Delphinium tricorne,Purple
Delphinium trolliifolium,Blue
Delphinium trolliifolium,Purple
Dendrium buxifolium,
Dendromecon rigida,Yellow
Dennstaedtia cicutaria,
Dennstaedtia punctilobula,Not Applicable
Dentaria diphylla,
Dentaria laciniata,
Deparia acrostichoides,Not Applicable
Dermatophyllum secundiflorum,Blue
Dermatophyllum secundiflorum,Purple
Deschampsia atropurpurea,
Deschampsia cespitosa,Yellow
Deschampsia flexuosa,White
Deschampsia flexuosa,Yellow
Deschampsia flexuosa,Brown
Deschampsia flexuosa,Purple
Desmanthus illinoensis,White
Desmanthus virgatus,White
Desmodium canadense,Pink
Desmodium canadense,Purple
Desmodium canescens,White
Desmodium canescens,Pink
Desmodium canescens,Purple
Desmodium ciliare,White
Desmodium ciliare,Violet
Desmodium ciliare,Purple
Desmodium cinerascens,
Desmodium cuspidatum,White
Desmodium cuspidatum,Green
Desmodium cuspidatum,Purple
Desmodium cuspidatum,Pink
Desmodium cuspidatum,Yellow
Desmodium glabellum,
Desmodium glutinosum,
Desmodium illinoense,White
Desmodium illinoense,Pink
Desmodium illinoense,Purple
Desmodium marilandicum,White
Desmodium marilandicum,Pink
Desmodium marilandicum,Purple
Desmodium paniculatum,Pink
Desmodium paniculatum,Purple
Desmodium perplexum,Violet
Desmodium perplexum,Pink
Desmodium perplexum,White
Desmodium perplexum,Purple
Desmodium strictum,White
Desmodium strictum,Pink
Desmodium strictum,Violet
Desmodium strictum,Purple
Desmodium tortuosum,Blue
Desmodium viridiflorum,
Dianthera americana,White
Dianthera americana,Pink
Dianthera americana,Violet
Dianthera americana,Purple
Dianthera ovata,
Diapensia lapponica,White
Diapensia lapponica,Pink
Diarrhena americana,Green
Diarrhena americana,Brown
Diarrhena obovata,Green
Diarrhena obovata,Brown
Dicentra canadensis,White
Dicentra canadensis,Pink
Dicentra cucullaria,White
Dicentra cucullaria,Yellow
Dicentra eximia,White
Dicentra eximia,Pink
Dicentra eximia,Rose–pink
Dicentra eximia,Purple
Dicentra formosa,White
Dicentra formosa,Pink
Dicentra formosa,Yellow
Dicentra formosa,Purple
Dichanthelium acuminatum,Yellow
Dichanthelium acuminatum,Green
Dichanthelium acuminatum,Purple
Dichanthelium boscii,Green
Dichanthelium boscii,Brown
Dichanthelium clandestinum,Not Applicable
Dichanthelium depauperatum,Green
Dichanthelium depauperatum,Brown
Dichanthelium dichotomum,Green
Dichanthelium dichotomum,Brown
Dichanthelium dichotomum,Purple
Dichanthelium latifolium,Green
Dichanthelium latifolium,Brown
Dichanthelium latifolium,Red
Dichanthelium laxiflorum,Green
Dichanthelium laxiflorum,Brown
Dichanthelium leibergii,Not Applicable
Dichanthelium scoparium,Green
Dichanthelium scoparium,Brown
Dichanthelium scoparium,Purple
Dichelostemma capitatum,White
Dichelostemma capitatum,Blue
Dichelostemma capitatum,Purple
Dichelostemma congestum,Violet
Dichelostemma congestum,Blue
Dichelostemma ida-maia,Red
Dichelostemma multiflorum,White
Dichelostemma multiflorum,Purple
Dichelostemma volubile,White
Dichelostemma volubile,Pink
Dichondra argentea,White
Dichromena colorata,
Diervilla lonicera,Orange
Diervilla lonicera,Yellow
Diervilla lonicera,Purple
Diervilla lonicera,Red
Diervilla rivularis,Yellow
Diervilla sessilifolia,Yellow
Dieteria canescens,White
Dieteria canescens,Yellow
Dieteria canescens,Blue
Dieteria canescens,Purple
Digitaria filiformis,White
Digitaria filiformis,Green
Digitaria filiformis,Brown
Diodia virginiana,White
Diodia virginiana,Pink
Dionaea muscipula,White
Dioscorea quaternata,White
Dioscorea quaternata,Green
Dioscorea villosa,White
Dioscorea villosa,Green
Diospyros texana,White
Diospyros texana,Green
Diospyros virginiana,White
Diospyros virginiana,Yellow
Diospyros virginiana,Green
Diphylleia cymosa,
Diplacus aurantiacus,Orange
Diplacus aurantiacus,Yellow
Diplacus grandiflorus,White
Diplacus grandiflorus,Orange
Diplazium pycnocarpon,
Diplazium sylvaticum,
Dirca palustris,Yellow
Disporum lanuginosum,
Disporum maculatum,
Distichlis spicata,Yellow
Dodecatheon amethystinum,
Dodecatheon dentatum,
Dodecatheon meadia,
Dodonaea viscosa,Yellow
Doellingeria infirma,White
Doellingeria infirma,Yellow
Doellingeria umbellata,White
Doellingeria umbellata,yellow
Dondia depressa,
Downingia elegans,White
Downingia elegans,Blue
Downingia pulchella,White
Downingia pulchella,Yellow
Downingia pulchella,Blue
Downingia pulchella,Purple
Draba arabisans,White
Draba aurea,Yellow
Draba borealis,White
Draba fladnizensis,White
Draba hirta,
Draba incana,White
Draba norvegica,White
Draba ramosissima,White
Draba streptocarpa,Yellow
Drosera anglica,White
Drosera anglica,Pink
Drosera brevifolia,White
Drosera brevifolia,Pink
Drosera filiformis,Pink
Drosera filiformis,Purple
Drosera intermedia,White
Drosera intermedia,Pink
Drosera rotundifolia,White
Drosera rotundifolia,Pink
Dryas integrifolia,White
Dryas integrifolia,Yellow
Dryas octopetala,White
Drymaria cordata,
Drymocallis arguta,
Dryopteris arguta,Not Applicable
Dryopteris campyloptera,Not Applicable
Dryopteris carthusiana,Not Applicable
Dryopteris celsa,Not Applicable
Dryopteris clintoniana,Not Applicable
Dryopteris cristata,Not Applicable
Dryopteris cristata,Brown
Dryopteris dilatata,
Dryopteris filix-mas,Not Applicable
Dryopteris fragrans,Not Applicable
Dryopteris goldiana,Not Applicable
Dryopteris intermedia,Not Applicable
Dryopteris ludoviciana,Not Applicable
Dryopteris marginalis,Not Applicable
Dryopteris normalis,
Dryopteris spinulosa,
Dudleya densiflora,White
Dudleya densiflora,Pink
Dudleya edulis,White
Dudleya farinosa,Yellow
Dudleya lanceolata,Orange
Dudleya lanceolata,Red
Dudleya pulverulenta,Red
Dudleya variegata,Yellow
Dudleya variegata,Red
Dulichium arundinaceum,Not Applicable
Dulichium arundinaceum,Brown
Duranta erecta,
Dyschoriste linearis,Purple
Dyssodia tenuiloba,
Echeveria strictiflora,Pink
Echeveria strictiflora,Red
Echinacea angustifolia,Pink
Echinacea angustifolia,Purple
Echinacea atrorubens,White
Echinacea atrorubens,Pink
Echinacea atrorubens,Purple
Echinacea laevigata,Pink
Echinacea laevigata,Purple
Echinacea pallida,Pink
Echinacea pallida,Purple
Echinacea paradoxa,White
Echinacea paradoxa,Pink
Echinacea paradoxa,Yellow
Echinacea purpurea,Pink
Echinacea purpurea,Rose–purple
Echinacea purpurea,Purple
Echinacea sanguinea,Pink
Echinacea sanguinea,Brown
Echinacea sanguinea,Purple
Echinacea simulata,Pink
Echinacea simulata,Purple
Echinacea tennesseensis,Pink
Echinacea tennesseensis,Purple
Echinocactus horizonthalonius,Pink
Echinocactus horizonthalonius,Red
Echinocereus berlandieri,Pink
Echinocereus berlandieri,Purple
Echinocereus chloranthus,Yellow
Echinocereus chloranthus,Brown
Echinocereus chloranthus,Red
Echinocereus coccineus,Red
Echinocereus dasyacanthus,Orange
Echinocereus dasyacanthus,Pink
Echinocereus dasyacanthus,Yellow
Echinocereus engelmannii,Pink
Echinocereus engelmannii,Red
Echinocereus enneacanthus,Pink
Echinocereus enneacanthus,Purple
Echinocereus enneacanthus,Red
Echinocereus fendleri,Violet
Echinocereus fendleri,Purple
Echinocereus pectinatus,White
Echinocereus pectinatus,Pink
Echinocereus pentalophus,White
Echinocereus pentalophus,Pink
Echinocereus pentalophus,Yellow
Echinocereus poselgeri,Pink
Echinocereus poselgeri,Red
Echinocereus reichenbachii,Pink
Echinocereus rigidissimus,Pink
Echinocereus rigidissimus,Purple
Echinocereus stramineus,Pink
Echinocereus stramineus,Purple
Echinocereus stramineus,Red
Echinocereus triglochidiatus,Orange
Echinocereus triglochidiatus,Red
Echinocereus viridiflorus,Yellow
Echinocereus viridiflorus,Green
Echinochloa muricata,White
Echinochloa muricata,Green
Echinochloa muricata,Purple
Echinochloa polystachya,Green
Echinochloa polystachya,Brown
Echinochloa polystachya,Purple
Echinocystis lobata,White
Ehrendorferia chrysantha,Yellow
Ehrendorferia ochroleuca,White
Ehrendorferia ochroleuca,Yellow
Ehrendorferia ochroleuca,Purple
Elaeagnus commutata,Yellow
Eleocharis acicularis,White
Eleocharis acicularis,Green
Eleocharis acicularis,Brown
Eleocharis erythropoda,White
Eleocharis erythropoda,Green
Eleocharis erythropoda,Brown
Eleocharis geniculata,Brown
Eleocharis interstincta,Green
Eleocharis interstincta,Brown
Eleocharis obtusa,Green
Eleocharis obtusa,Yellow
Eleocharis obtusa,Brown
Eleocharis ovata,Green
Eleocharis ovata,Brown
Eleocharis palustris,Green
Eleocharis palustris,Brown
Eleocharis parvula,Green
Eleocharis parvula,Brown
Eleocharis quadrangulata,Green
Eleocharis quadrangulata,Brown
Eleocharis radicans,
Eleocharis tenuis,Green
Eleocharis tenuis,Brown
Elephantopus carolinianus,White
Elephantopus carolinianus,Pink
Elephantopus carolinianus,Purple
Elephantopus tomentosus,Pink
Elephantopus tomentosus,Purple
Elliottia racemosa,White
Ellisia nyctelea,White
Ellisia nyctelea,Blue
Elmera racemosa,White
Elmera racemosa,Yellow
Elodea canadensis,White
Elymus canadensis,Green
Elymus canadensis,brown
Elymus canadensis,Yellow
Elymus canadensis,green
Elymus canadensis,Brown
Elymus glabriflorus,
Elymus glaucus,Yellow
Elymus glaucus,Green
Elymus glaucus,Purple
Elymus hirsutus,Green
Elymus hirsutus,Brown
Elymus hystrix,Green
Elymus riparius,Yellow
Elymus smithii,Yellow
Elymus villosus,Not Applicable
Elymus violaceus,Green
Elymus violaceus,Brown
Elymus violaceus,Purple
Elymus virginicus,Green
Elymus virginicus,Brown
Elytraria virgata,
Emmenanthe penduliflora,Yellow
Empetrum nigrum,Pink
Empetrum nigrum,Purple
Encelia californica,Yellow
Encelia farinosa,Yellow
Encelia farinosa,Purple
Enemion biternatum,White
Enemion biternatum,Pink
Engelmannia peristenia,Yellow
Ephedra nevadensis,Yellow
Ephedra nevadensis,Brown
Ephedra viridis,Yellow
Epidendrum conopseum,
Epifagus virginiana,White
Epifagus virginiana,Pink
Epifagus virginiana,Yellow
Epifagus virginiana,Purple
Epigaea repens,White
Epigaea repens,Pink
Epigaea repens,pink
Epilobium adenocaulon,
Epilobium angustifolium,White
Epilobium angustifolium,Pink
Epilobium angustifolium,Purple
Epilobium brachycarpum,White
Epilobium brachycarpum,Pink
Epilobium brachycarpum,Purple
Epilobium canum,White
Epilobium canum,Orange
Epilobium canum,Red
Epilobium coloratum,White
Epilobium coloratum,Pink
Epilobium coloratum,Red
Epilobium latifolium,Pink
Epilobium latifolium,Purple
Epilobium leptophyllum,White
Epilobium leptophyllum,Pink
Epilobium leptophyllum,Red
Epilobium lineare,
Epilobium luteum,White
Epilobium luteum,Yellow
Epilobium obcordatum,Pink
Epilobium obcordatum,Purple
Epilobium palustre,White
Epilobium palustre,Pink
Epilobium palustre,Purple
Epilobium rigidum,Pink
Epilobium rigidum,Purple
Epilobium spicatum,
Epipactis gigantea,Green
Epipactis gigantea,Purple
Epipactis gigantea,Pink
Epipactis gigantea,Yellow
Epipactis gigantea,Brown
Epipactis gigantea,Orange
Epithelantha micromeris,White
Epithelantha micromeris,Pink
Epithelantha micromeris,Red
Equisetum arvense,Green
Equisetum arvense,Not Applicable
Equisetum fluviatile,Green
Equisetum fluviatile,Not Applicable
Equisetum hyemale,Not Applicable
Equisetum scirpoides,Not Applicable
Equisetum telmateia,Not Applicable
Eragrostis elliottii,Green
Eragrostis elliottii,Brown
Eragrostis elliottii,Purple
Eragrostis hirsuta,Green
Eragrostis hirsuta,Brown
Eragrostis hirsuta,Purple
Eragrostis pectinacea,Yellow
Eragrostis pectinacea,brown
Eragrostis pectinacea,Not Applicable
Eragrostis prolifera,Green
Eragrostis prolifera,Brown
Eragrostis reptans,White
Eragrostis reptans,Green
Eragrostis spectabilis,Purple
Eragrostis spectabilis,Red
Eragrostis trichodes,Green
Eragrostis trichodes,Yellow
Eragrostis trichodes,Purple
Erechtites hieracifolia,
Erechtites hieraciifolius,White
Erechtites hieraciifolius,Yellow
Eremogone aculeata,White
Eremogone congesta,White
Eremogone hookeri,
Eremogone macradenia,
Erianthus giganteus,
Eriastrum densifolium,Blue
Ericameria nauseosa,Yellow
Ericameria paniculata,Yellow
Erigenia bulbosa,White
Erigeron annuus,White
Erigeron annuus,Yellow
Erigeron canadensis,White
Erigeron compositus,White
Erigeron compositus,Pink
Erigeron compositus,Yellow
Erigeron coulteri,White
Erigeron coulteri,Yellow
Erigeron divergens,White
Erigeron divergens,Pink
Erigeron divergens,Yellow
Erigeron divergens,Purple
Erigeron elatior,White
Erigeron elatior,Pink
Erigeron elatior,Yellow
Erigeron elatior,Purple
Erigeron flagellaris,White
Erigeron flagellaris,Yellow
Erigeron flagellaris,Purple
Erigeron glabellus,White
Erigeron glabellus,Purple
Erigeron glabellus,Pink
Erigeron glabellus,Yellow
Erigeron glabellus,Blue
Erigeron glaucus,White
Erigeron glaucus,Yellow
Erigeron glaucus,Blue
Erigeron glaucus,Purple
Erigeron gracilis,Pink
Erigeron gracilis,Yellow
Erigeron gracilis,Blue
Erigeron gracilis,Purple
Erigeron grandiflorus,White
Erigeron grandiflorus,Purple
Erigeron grandiflorus,Pink
Erigeron grandiflorus,Yellow
Erigeron grandiflorus,Blue
Erigeron hyssopifolius,White
Erigeron hyssopifolius,Pink
Erigeron hyssopifolius,Yellow
Erigeron leiomerus,White
Erigeron leiomerus,Yellow
Erigeron leiomerus,Blue
Erigeron leiomerus,Purple
Erigeron philadelphicus,White
Erigeron philadelphicus,Purple
Erigeron philadelphicus,Pink
Erigeron philadelphicus,Yellow
Erigeron philadelphicus,pink
Erigeron pulchellus,White
Erigeron pulchellus,Purple
Erigeron pulchellus,Pink
Erigeron pulchellus,Yellow
Erigeron pulchellus,Blue
Erigeron pumilus,White
Erigeron pumilus,Pink
Erigeron pumilus,Yellow
Erigeron pumilus,Blue
Erigeron radicatus,White
Erigeron radicatus,Yellow
Erigeron radicatus,Purple
Erigeron speciosus,White
Erigeron speciosus,Yellow
Erigeron speciosus,Blue
Erigeron speciosus,Purple
Erigeron trifidus,
Eriocaulon aquaticum,White
Eriocaulon decangulare,White
Eriochloa sericea,Not Applicable
Eriodictyon crassifolium,Purple
Eriogonum allenii,Yellow
Eriogonum compositum,White
Eriogonum compositum,Yellow
Eriogonum corymbosum,White
Eriogonum corymbosum,Pink
Eriogonum corymbosum,Yellow
Eriogonum douglasii,White
Eriogonum douglasii,Pink
Eriogonum douglasii,Yellow
Eriogonum fasciculatum,White
Eriogonum fasciculatum,Pink
Eriogonum flavum,Yellow
Eriogonum giganteum,White
Eriogonum giganteum,Pink
Eriogonum heracleoides,White
Eriogonum longifolium,White
Eriogonum longifolium,Yellow
Eriogonum niveum,White
Eriogonum niveum,Pink
Eriogonum ovalifolium,White
Eriogonum ovalifolium,Yellow
Eriogonum ovalifolium,Purple
Eriogonum ovalifolium,Red
Eriogonum parvifolium,White
Eriogonum parvifolium,Pink
Eriogonum parvifolium,Yellow
Eriogonum parvifolium,Green
Eriogonum racemosum,White
Eriogonum racemosum,Pink
Eriogonum rotundifolium,White
Eriogonum rotundifolium,Pink
Eriogonum rotundifolium,Green
Eriogonum rotundifolium,Red
Eriogonum tomentosum,White
Eriogonum tomentosum,Pink
Eriogonum umbellatum,White
Eriogonum umbellatum,Yellow
Eriogonum umbellatum,Red
Eriogonum vimineum,White
Eriogonum vimineum,Yellow
Eriogonum vimineum,Red
Erioneuron pilosum,Brown
Eriophorum angustifolium,White
Eriophorum angustifolium,Yellow
Eriophorum angustifolium,Brown
Eriophorum gracile,White
Eriophorum gracile,Yellow
Eriophorum gracile,Brown
Eriophorum virginicum,White
Eriophorum virginicum,Green
Eriophorum virginicum,Brown
Eriophyllum confertiflorum,Yellow
Eriophyllum lanatum,Yellow
Eriophyllum wallacei,Yellow
Eritrichium nanum,Orange
Eritrichium nanum,Yellow
Eritrichium nanum,Blue
Eritrichium nanum,Purple
Ernodea littoralis,White
Ernodea littoralis,Pink
Ernodea littoralis,Red
Eryngium aquaticum,White
Eryngium aquaticum,Green
Eryngium aquaticum,Blue
Eryngium aquaticum,Purple
Eryngium integrifolium,Blue
Eryngium integrifolium,Purple
Eryngium leavenworthii,Blue
Eryngium leavenworthii,Purple
Eryngium yuccifolium,White
Eryngium yuccifolium,Green
Erysimum arkansanum,
Erysimum asperum,Yellow
Erysimum menziesii,Yellow
Erythranthe guttata,Yellow
Erythranthe guttata,Red
Erythranthe pardalis,Orange
Erythranthe pardalis,Yellow
Erythranthe pardalis,Red
Erythrina herbacea,Red
Erythronium albidum,White
Erythronium albidum,Purple
Erythronium albidum,Pink
Erythronium albidum,Yellow
Erythronium albidum,Blue
Erythronium americanum,Yellow
Erythronium californicum,White
Erythronium californicum,Yellow
Erythronium citrinum,White
Erythronium citrinum,Pink
Erythronium citrinum,Yellow
Erythronium grandiflorum,White
Erythronium grandiflorum,Yellow
Erythronium hendersonii,Violet
Erythronium hendersonii,Pink
Erythronium hendersonii,Purple
Erythronium klamathense,White
Erythronium klamathense,Yellow
Erythronium montanum,White
Erythronium montanum,Yellow
Erythronium purpurascens,White
Erythronium purpurascens,Yellow
Erythronium revolutum,White
Erythronium revolutum,Pink
Erythronium revolutum,Yellow
Erythronium rostratum,White
Erythronium rostratum,Yellow
Erythronium rostratum,yellow
Erythronium tuolumnense,Yellow
Eschscholzia caespitosa,Orange
Eschscholzia caespitosa,Yellow
Eschscholzia californica,Orange
Eschscholzia californica,Yellow
Eschscholzia lemmonii,Orange
Eschscholzia lemmonii,Yellow
Escobaria dasyacantha,White
Escobaria dasyacantha,Pink
Escobaria dasyacantha,Violet
Escobaria missouriensis,Pink
Escobaria missouriensis,Yellow
Escobaria missouriensis,Green
Escobaria missouriensis,Brown
Escobaria sneedii,White
Escobaria sneedii,Pink
Escobaria tuberculosa,White
Escobaria tuberculosa,Pink
Escobaria vivipara,White
Escobaria vivipara,Green
Escobaria vivipara,Purple
Escobaria vivipara,Pink
Escobaria vivipara,Yellow
Eubotrys racemosa,White
Eubotrys recurva,White
Eubotrys recurva,Pink
Eucnide bartonioides,Yellow
Euonymus americanus,Green
Euonymus americanus,Green–white
Euonymus americanus,Purple
Euonymus atropurpureus,Purple
Euonymus obovatus,Green
Euonymus obovatus,Purple
Eupatorium album,White
Eupatorium album,Pink
Eupatorium altissimum,White
Eupatorium altissimum,Green
Eupatorium aromaticum,
Eupatorium capillifolium,White
Eupatorium capillifolium,Green
Eupatorium coelestinum,
Eupatorium dubium,
Eupatorium fistulosum,
Eupatorium godfreyanum,White
Eupatorium godfreyanum,Pink
Eupatorium greggii,
Eupatorium hyssopifolium,White
Eupatorium maculatum,
Eupatorium perfoliatum,White
Eupatorium pilosum,White
Eupatorium pilosum,Pink
Eupatorium pubescens,
Eupatorium purpureum,
Eupatorium rotundifolium,White
Eupatorium rugosum,
Eupatorium serotinum,White
Eupatorium sessilifolium,White
Euphorbia brachycera,White
Euphorbia brachycera,Yellow
Euphorbia corollata,White
Euphorbia cyathophora,Yellow
Euphorbia cyathophora,Green
Euphorbia heterophylla,White
Euphorbia heterophylla,Green
Euphorbia hirta,White
Euphorbia hirta,Green
Euphorbia hirta,Red
Euphorbia hypericifolia,White
Euphorbia ipecacuanhae,White
Euphorbia ipecacuanhae,Yellow
Euphorbia ipecacuanhae,Green
Euphorbia maculata,White
Euphorbia maculata,Pink
Euphorbia marginata,White
Euphorbia nutans,White
Euphorbia nutans,Green
Euphorbia nutans,Red
Euphorbia polygonifolia,
Euphorbia purpurea,Yellow
Euphorbia purpurea,Green
Euphorbia tithymaloides,Pink
Euphorbia tithymaloides,Red
Eurybia compacta,Pink
Eurybia compacta,Yellow
Eurybia compacta,Blue
Eurybia compacta,Purple
Eurybia divaricata,White
Eurybia divaricata,Green
Eurybia divaricata,yellow
Eurybia divaricata,Brown
Eurybia hemispherica,Yellow
Eurybia hemispherica,Purple
Eurybia macrophylla,White
Eurybia macrophylla,blue
Eurybia macrophylla,Purple
Eurybia macrophylla,yellow
Eurybia macrophylla,Blue
Eurybia merita,Purple
Eurybia radulina,White
Eurybia radulina,Pink
Eurybia radulina,Violet
Eurybia radulina,Purple
Eurybia sibirica,White
Eurybia sibirica,Yellow
Eurybia sibirica,Violet
Eurybia sibirica,Purple
Eurybia spectabilis,Lavender
Eurybia spectabilis,Yellow
Eurybia spectabilis,Purple
Eustoma exaltatum,White
Eustoma exaltatum,Blue
Eustoma exaltatum,Purple
Eustoma grandiflorum,
Eustoma russellianum,White
Eustoma russellianum,Purple
Eustoma russellianum,Pink
Eustoma russellianum,Yellow
Eustoma russellianum,Blue
Euthamia caroliniana,Yellow
Euthamia graminifolia,Yellow
Euthamia occidentalis,Yellow
Eutrochium dubium,White
Eutrochium dubium,Pink
Eutrochium dubium,Purple
Eutrochium fistulosum,Pink
Eutrochium fistulosum,Purple
Eutrochium maculatum,Pink
Eutrochium maculatum,Purple
Eutrochium purpureum,lavender
Eutrochium purpureum,Pink
Eutrochium purpureum,Purple
Evolvulus nuttallianus,Blue
Evolvulus nuttallianus,Purple
Evolvulus pilosus,
Evolvulus sericeus,White
Evolvulus sericeus,Blue
Evolvulus sericeus,Violet
Exostema caribaeum,White
Eysenhardtia polystachya,
Eysenhardtia texana,White
Fagus americana,
Fagus grandifolia,Yellow
Fagus grandifolia,Green
Fagus grandifolia,Brown
Fallopia cilinodis,White
Fallopia scandens,
Fallugia paradoxa,White
Fendlera rupicola,White
Fendlera rupicola,Pink
Ferocactus cylindraceus,Yellow
Ferocactus cylindraceus,Green
Ferocactus cylindraceus,Red
Ferocactus hamatacanthus,Yellow
Ferocactus hamatacanthus,Red
Ferocactus viridescens,Yellow
Ferocactus viridescens,Red
