Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Arctous alpina,,,,,,,,,,,,,,,,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Saturnia mendocino,,,,Shrub,False,False,False,False,False,False
Arenaria caroliniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Arenaria emarginata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Arenaria groenlandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Arenaria lateriflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Arenaria macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Arenaria stricta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Arethusa bulbosa,"Dragon's Mouth, Swamp Pink",Perennial,Herb,Up to about 16 inches tall.,,,,Bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False
Argemone hispida,"Rough Pricklypoppy, Rough Prickly Poppy",Perennial,Herb,Up to about 2 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Argemone mexicana,"Mexican Prickly Poppy, Mexican Prickly Poppy, Yellow Prickly Poppy",Annual,Herb,Up to about 32 inches tall.,Low,Acidic (pH<6.8),Sandy,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Platynota labiosana,,,,Herb (annual),True,False,False,False,False,True
Argemone ochroleuca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Argemone platyceras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Argemone sanguinea,"Red Pricklypoppy, Rose Prickly Poppy, Red Prickly Poppy",Annual,Herb,"Up to about 4 feet tall, often shorter.",Low,,"Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay","Nectar-Bees, Nectar-beetles, Nectar-insects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Ariocarpus fissuratus,"Chautle Livingrock, Living Rock Cactus, Texas Living Rock",Perennial,Cactus/Succulent,"Flat, up to 6 in. diameter. Up to about 4 inches tall. Often found about 2 inches tall.",Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Arisaema dracontium,"Green Dragon, Dragonroot, Greendragon",Perennial,Herb,Up to about 3 feet tall.,Medium,,"Rich, slightly acid, soil.",Birds and mammals eat the berries.,,,yes,"Propagate by tuber division or seed. Divide tubers when the plant dies down in late summer. Seeds may be sown outside in late fall, 3/4 inch deep, or the following spring with or without cold treatment. Seeds should not be allowed to dry out. This species will not flower until the second or third year after germination.",Herbaceous perennial,Medium,4.0,9.0,May,June,Yes,1–4,,,,,,"Wet, Moist",,,,,,,,,,,,,Low,Adult Food,"Beetles, Wasps, Flies",,,,Yes,,,,,,,,,,,,Herb (perennial),True,True,True,True,True,False
Arisaema triphyllum,"Jack In The Pulpit, Indian Jack In The Pulpit, Jack-in-the-pulpit",Perennial,Herb,Up to about 2 feet tall.,High,,"Humus-rich, moist soils.",Birds and mammals eat the berries of this plant.,yes,,yes,"Propagate by root division or seed. Seeds may be sown outside in late fall, 3/4 "" deep, or the following spring with or without cold treatment. Seeds should not be allowed to dry out. The seeds may not germinate for up to two years. Cormlets can be separated from the parent",Herbaceous perennial,Medium,4.0,9.0,April,May,Yes,1–3,Moderate,Rhizomatous,Erect,Color,Deciduous,"Wet, Moist",High,,,High,Moderate,"Spring, Summer",,No,Low,Low,Low/Low,"Seed, Container, Bare root, Corm",Medium,Adult Food; Larval Food,"Beetles, Wasps, Flies; Larval Host (Moth)",,,,Yes,,,,,,,Yes,Spilosoma congrua,,,,Herb (perennial),True,True,True,True,True,False
Aristida dichotoma,Churchmouse Threeawn,,Grass/Grass-like,Up to about 2 feet tall.,,,,,,,,,,,,,,,No,,,,,,,Dry,,,,,,,,,,,,,None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (annual),False,False,False,False,False,False
Aristida divaricata,"Poverty Three-awn, Poverty Threeawn, Spreading Threeawn",,Grass/Grass-like,Up to about 28 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aristida purpurascens,Arrowfeather Threeawn,Perennial,Grass/Grass-like,Up to about 40 inches tall.,,,,,,,,,,,,,,,No,,,,,,,"Moist, Dry",,,,,,,,,,,,,Low,Larval Food,Larval Host (Butterfly); Wind,,,,,,,,,,Yes,,"Hesperia attalus, Hesperia attalus slossonae, Hesperia meskei, Hesperia meskei meskei",,,Yes,Graminoid (perennial),False,False,False,False,False,False
Aristida purpurea,"Purple Threeawn, Purple 3-awn, Purple Three-awn, Red Threeawn",Annual,Grass/Grass-like,Low tufted culms 25-70 cm. tall.,Low,,"Dry, rocky soils.","Seldom grazed. The seeds are food for some song birds, like the Junco. The plants provide nesting materials or habitat for some fur and game animals.",yes,,,,,,,,,,No,1–1.5,Moderate,Bunch,Erect,No Color,Deciduous,Dry,Low,,Low,Low,Rapid,"Fall, Winter, Spring",,No,High,Medium,Medium/Medium,Seed,Low,Nesting and Structure (Bees),Nesting and Structure (Bees); Wind,,,,,,,,Yes,,,,,,,Yes,Graminoid (annual or perennial),True,True,False,False,False,True
Aristida stricta,"Pineland Threeawn, Wiregrass",Perennial,Grass/Grass-like,Up to about 4 feet tall.,"Low , Medium",Acidic (pH<6.8),"Highly acidic, poor, sandy, pineland soils.",Bachman's Sparrows eat the seeds. Deer browse the leaves.,yes,,,,,,,,,,No,4,Short,Bunch,Erect,No Color,Deciduous,"Wet, Moist, Dry",Low,,,Low,Moderate,Spring,,No,High,High,Medium/Medium,Seed,None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,True,True,False,True,True
Aristolochia californica,California Dutchman's Pipe,,Vine,"Climber, stems up to about 15 feet long.",,,Mesic soils.,,,,yes,"Increase by layering, division, cuttings, or by seed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Aristolochia durior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aristolochia macrophylla,"Pipevine, Dutchman's Pipe",Perennial,Vine,"Climber, stems up to about 35 feet long.",Medium,,"Organic, well-drained soils.",,,,yes,"Increase by layering, division, July cuttings, or by seed sown outdoor in fall.",Vine,Low,4.0,8.0,May,June,,15–30,,,,,,Moist,,,,,,,,,,,,,Medium,Adult Food; Larval Food,"Beetles, Wasps, Flies; Larval Host (Butterfly)",,,,Yes,,,,,,Yes,,Battus philenor,,,,Vine,True,True,True,False,True,False
Aristolochia serpentaria,"Virginia Snakeroot, Virginia Dutchmanspipe",Perennial,Herb,"Climber, up to about 2 feet tall.",Medium,,"Sandy Loam, Medium Loam, Clay Loam, Clay",,,,,,,,,,,,,,,,,,,Dry,,,,,,,,,,,,,Low,Larval Food,Larval Host (Butterfly),,,,,,,,,,Yes,,"Battus philenor, Battus philenor philenor, Battus polydamas lucayus",,,,Herb (perennial),False,False,True,False,False,True
Aristolochia tomentosa,"Woolly Dutchman's Pipe, Common Dutchman's Pipe",Perennial,Vine,Twining stems up to about 80 feet long.,Medium,,"Sandy, Sandy Loam, Medium Loam",,,,,,Vine,Low,5.0,8.0,May,June,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,Medium,Adult Food; Larval Food,"Beetles, Wasps, Flies; Larval Host (Butterfly)",,,,Yes,,,,,,Yes,,Battus philenor,,,,Vine,True,True,False,False,True,False
Armeria maritima,Thrift Seapink,Perennial,Herb,Up to about 2 feet tall.,Medium,,Well-drained soils.,Bees,,,yes,Propagate by seed or cuttings.,Herbaceous perennial,Medium,4.0,8.0,April,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,True
Arnica acaulis,Common Leopardbane,Perennial,Herb,Up to about 30 inches tall.,Medium,,Sandy soils.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False
Arnica chamissonis,Chamisso Arnica,Perennial,Herb,Usually up to about 3 feet tall. Can be up to about 5 feet tall.,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False
Arnica cordifolia,"Heartleaf Arnica, Heart-leaf Leopardbane",Perennial,Herb,Up to about 2 feet tall.,High,,Various moist or dry soils.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Arnica lonchophylla,Longleaf Arnica,,Herb,Up to about 20 inches tall.,,Alkaline (pH>7.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False
Arnica mollis,Hairy Arnica,Perennial,Herb,Up to about 28 inches tall.,,,,,,,,,,,,,,,Yes,2,Moderate,Single Stem,Erect,No Color,Deciduous,"Wet, Moist",High,,,Low,Slow,"Spring, Summer",,No,Medium,Low,Low/Low,"Seed, Bare root",None Known,,,,,,,,,,,,,,,,,,Herb (perennial),True,True,False,False,False,False
Arnoglossum atriplicifolium,Pale Indian Plantain,Perennial,Herb,"Up to about 10 feet tall, often shorter.",Medium,,Various soils.,,,,yes,,Herbaceous perennial,Medium,3.0,8.0,July,August,,,,,,,,,,,,,,,,,,,,,Medium,Adult Food; Nesting and Structure (Bees),"Native Bees; Beetles, Wasps, Flies",Yes,,,Yes,,,,Yes,,,,,,,,Herb (perennial),True,True,False,False,True,False
Arnoglossum plantagineum,"Groovestem Indian Plantain, Indian Plantain, Prairie Plantain, Prairie Indian Plantain",Perennial,Herb,Up to about 5 feet tall.,Medium,Circumneutral (pH 6.8-7.2),,,yes,,,,,,,,,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,,,Yes,Yes,Yes,,,,,Yes,"Papaipema baptisiae, Papaipema circumlucens, Papaipema necopina",,,,Herb (perennial),True,False,False,False,True,False
Arnoglossum reniforme,Great Indian Plantain,Perennial,Herb,Up to about 10 feet tall.,,,,,,,,,Herbaceous perennial,Low,3.0,8.0,May,September,,,,,,,,,,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Moths; Larval Host (Moth)",Yes,,Yes,Yes,Yes,,,,,,Yes,Phyllocnistis insignis,,,,Herb (perennial),True,True,False,False,True,False
Aronia × prunifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aronia arbutifolia,"Red Chokeberry, Red Chokecherry",Perennial,Shrub,Up to about 12 feet tall.,High,Acidic (pH<6.8),"Moist, rich soils.",Intermediate food source for birds.,,,yes,Propagate by seed or softwood cuttings. Softwood cuttings root without hormone treatment.,Deciduous shrub,Low,4.0,9.0,April,April,Yes,6–15,Moderate,Colonizing,Erect,Color,Deciduous,"Wet, Moist",High,,Low,Medium,Moderate,"Spring, Summer",Low,No,Low,Medium,Low/Low,"Seed, Container, Bare root",High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,Shrub,True,True,False,False,True,False
Aronia floribunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aronia melanocarpa,Black Chokeberry,Perennial,Shrub,Up to about 6 feet tall.,,Acidic (pH<6.8),"Moist, acid soils.",Intermediate food source for birds.,,,yes,Propagate by seed or softwood cuttings. Softwood cuttings root without hormone treatment.,Deciduous shrub,Low,3.0,8.0,May,May,,6–7,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Acleris bowmanana, Acleris fragariana, Ancylis mediofasciana, Ancylis nubeculana, Aphelia alleniana, Archips myricana, Argyrotaenia repertana, Catocala praeclara, Choristoneura obsoletana, Harkenclenus titus, Hedya nubiferana, Hemileuca nevadensis -complex, Lomographa semiclarata, Malacosoma californica fragilis, Metarranthis amyrisaria, Satyrium liparops, Scopula limboundata, Sparganothis daphnana, Sparganothis reticulatana, Trichordestra rugosa, Xestia c-nigrum",,,,Shrub,True,True,False,False,True,False
Aronia X prunifolia,"Purple Chokeberry, Red Chokeberry",Perennial,Shrub,Up to about 9 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,Shrub,False,False,False,False,False,False
Arsenococcus ligustrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Artemisia arbuscula,"Little Sagebrush, Low Sagebrush",Perennial,Subshrub,To about 18 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Artemisia californica,"Coastal Sagebrush, California Sagebrush",Perennial,Shrub,"Up to about 8 feet tall, often much shorter.",Low,,"Poor, dry, well-drained soils.",,,,yes,Increase by cuttings taken in cool weather. Seeds germinate readily.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Artemisia campestris,Field Sagewort,Biennial,Herb,"Up to about 5 feet tall, often much shorter.",,,,,,,,,,,,,,,No,,,,,,,Dry,,,,,,,,,,,,,Medium,Larval Food; Nesting and Structure (Bees),Nesting and Structure (Bees); Larval Host (Moth); Wind,,,,,,,,Yes,,,Yes,Scrobipalpula artemisiella,,,Yes,Herb (biennial or perennial),False,False,False,False,False,True
Artemisia douglasiana,"Douglas' Sagewort, Douglas Mugwort",,Herb,"Up to about 8 feet tall, often shorter.",Low,,Moist to dry soils.,Birds like the seeds and use it for perching and cover.,,,yes,Propagation is from seed or division of the root crown. Seeds germinate readily.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False
Artemisia dracunculus,Tarragon,,Subshrub,Up to about 5 feet tall.,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,High,Adult Food; Larval Food; Nesting and Structure (Bees),Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,Yes,,Yes,,Yes,Yes,"Bucculatrix leptalea, Depressaria artemisiae, Epiblema benignata, Euxoa cana, Euxoa cursoria wirima, Euxoa plagigera, Papilio bairdii, Papilio bairdii bairdii, Papilio bairdii oregonius, Papilio machaon, Phaneta argenticostana, Phaneta montanana, Protoschinia nuchalis, Sparganothis striata",,,Yes,"Shrub, Herb (perennial)",False,False,False,False,False,False
Artemisia filifolia,"Sand Sagebrush, Silver Sagebrush, Silvery Wormwood, Sand Sage",Perennial,Subshrub,"Up to about 6 feet tall, often shorter.",Low,,Sandy,"Seeds are an important food for sharptail grouse and other birds. Cover, Fruit-birds",,,,Propagate by seed.,,,,,,,No,,,,,,,,,,,,,,,,,,,,Medium,Larval Food; Nesting and Structure (Bees),Nesting and Structure (Bees); Larval Host (Moth); Wind,,,,,,,,Yes,,,Yes,Hemileuca hera magnifica,,,Yes,Shrub,False,True,False,False,False,True
Artemisia frigida,"Prairie Sagewort, Prairie Sagebrush, Fringed Sage, Pasture Sage",Perennial,Subshrub,Up to about 18 inches tall.,Low,,"Poor, dry soil.",Important winter feed for elk and deer.,yes,yes,yes,"Increase by division of mature plants, by",,,,,,,No,2,Short,Rhizomatous,Rounded,No Color,Deciduous,Dry,Low,,Medium,Low,Rapid,"Spring, Fall",High,No,High,Medium,High/High,"Seed, Container",High,Adult Food; Larval Food; Nesting and Structure (Bees),Native Bees; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind,Yes,,,,,,,Yes,,Yes,Yes,"Schinia cumatilis, Vanessa cardui",,,Yes,Shrub,True,True,False,False,False,True
Artemisia ludoviciana,"Louisiana Artemisia, Louisiana Sage, White Sage, Prairie Sage, Silver Sage, White Sagebrush, Louisiana Wormwood, Silver Wormwood, Louisiana Sagewort, Gray Sagewort, Cudweed Sagewort, Mugwort Wormwood",Perennial,Subshrub,Usually up to about 3 feet tall. Rarely up to 4 feet tall in desert washes.,Low,,"Dry to mesic, rocky, shallow soils, well drained. Sand, loam, clay, caliche, limestone. Very adaptable.",,,yes,yes,Increase by sowing seeds or dividing the rhizomes in spring or fall. Mature plants may also be divided.,Herbaceous perennial,Medium,4.0,9.0,August,September,No,1–3,Short,Rhizomatous,Erect,No Color,Deciduous,Dry,Low,,High,Low,Moderate,"Spring, Summer",High,No,High,Medium,Medium/Medium,"Seed, Container, Cutting, Sprig",High,Adult Food; Larval Food; Nesting and Structure (Bees),"Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind",,,,Yes,,Yes,,Yes,,Yes,Yes,"Phaneta artemisiana, Phaneta infimbriana, Vanessa cardui",,,Yes,"Shrub, Herb (perennial)",True,False,False,False,True,True
Artemisia palmeri,"San Diego Sagewort, San Diego Sagebrush",Perennial,Subshrub,"Up to about 10 feet tall, often shorter.",Low,,Moist to dry soils.,,,,yes,Propagation is from seed or division of the root crown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False
Artemisia pycnocephala,"Beach Sagebrush, Beach Wormwood, Sand Hill Sage",Perennial,Subshrub,"Height 1-2 feet, spread to 2 feet.",Low,,Sandy soils.,,,yes,yes,Propagation is from seed or division of the root crown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Artemisia stelleriana,"Oldwoman, Dusty Miller",,Herb,Up to about 2 feet tall.,,,,,,,,,,,,,,,No,,,,,,,Dry,,,,,,,,,,,,,Medium,Larval Food; Nesting and Structure (Bees),Nesting and Structure (Bees); Larval Host (Butterfly); Wind,,,,,,,,Yes,,Yes,,Vanessa cardui,,,Yes,Herb (perennial),False,False,False,False,False,False
Artemisia tridentata,"Big Sagebrush, Great Basin Sagebrush",Perennial,Shrub,Up to about 9 feet tall.,Medium,,"Dry, rocky soils.",An important wildlife plant.,,yes,yes,Half-ripened wood under mist give some rooting success. Seeds should germinate easily.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Aruncus dioicus,"Bride's Feathers, Goat's Beard",,Herb,Up to about 6 feet tall.,"Medium , High",Acidic (pH<6.8),"Average to acid, mesic to moist soil.",,,,yes,Propagate by division or seed.,Herbaceous perennial,Low,4.0,8.0,April,May,,4–5,,,,,,Dry,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,"Celastrina ebenina, Celastrina nigra, Endopiza aruncana",Yes,,,Herb (perennial),True,True,True,True,True,False
Arundinaria gigantea,"Giant Cane, River Cane, Switch Cane, American Bamboo",Perennial,Grass/Grass-like,Up to about 25 feet tall.,Medium,,Wet soils.,"Relied on by Bachman's Warbler, Swainson's Warbler, turkeys, Canebrake Rattlesnakes, Swamp Rabbits, Wood Bison, Black Bear, White-tailed Deer, and Elk",yes,,yes,,Ornamental grass,Medium,5.0,9.0,Rarely flowers,Rarely flowers,No,25,Long,Rhizomatous,Erect,Color,Deciduous,"Wet, Moist",Medium,,Low,Medium,Rapid,Spring,High,No,Medium,High,Medium/Medium,"Container, Bare root, Cutting",Low,Larval Food,Larval Host (Butterfly); Wind,,,,,,,,,,Yes,,"Enodia creola, Enodia portlandia",,,Yes,"Shrub, Graminoid (perennial)",True,True,False,True,True,False
Asarum arifolium,"Little Brown Jug, Heartleaf, Evergreen Wild Ginger",Perennial,Herb,2 to 4 inches high,"Low , Medium",Acidic (pH<6.8),"Rich, acidic, moist or dry soils of pH 5 to 6",Winter browse,yes,,,,,,,,,,,0.3–0.5,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,Low,Adult Food,"Beetles, Wasps, Flies",,,,Yes,,,,,,,,,,,,Herb (perennial),False,True,True,False,True,True
Asarum canadense,"Canadian Wild Ginger, Wild Ginger",Perennial,Herb,Up to about 8 inches tall.,Medium,"Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Moist, rich soils. pH of 6 to 7 best.",,yes,,yes,Summer cuttings and fall root division best. Slow from seed.,Herbaceous perennial,Low,4.0,6.0,April,May,,0.2–0.7,,,,,,Dry,,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Beetles, Wasps, Flies",Yes,,,Yes,,,,,,,,,,,,Herb (perennial),False,True,True,True,True,False
Asarum caudatum,"British Columbia Wild Ginger, Long-tail Wild Ginger",Perennial,Herb,"Up to about 10 inches tall, spreading widely.",Medium,,"Moist, rich soil.",,,yes,yes,Propagates easily from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False
Asarum shuttleworthii,"Largeflower Heartleaf, Shuttleworth's Ginger",Perennial,Herb,Up to about 4 inches tall.,,,,,,,,,Herbaceous perennial,Low,6.0,9.0,April,May,,4–6,,,,,,"Moist, Dry",,,,,,,,,,,,,Low,Adult Food,"Beetles, Wasps, Flies",,,,Yes,,,,,,,,,,,,Herb (perennial),False,True,True,True,True,False
Asarum virginicum,Virginia Heartleaf,,Herb,Up to about 4 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asclepias amplexicaulis,"Clasping Milkweed, Bluntleaf Milkweed",Perennial,Herb,"Follicles 10-16 cm long, 1-2 cm thick.",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,"Danaus gilippus, Danaus plexippus",,,,Herb (perennial),False,False,False,False,False,False
Asclepias angustifolia,Arizona Milkweed,,Herb,Up to about 28 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False
Asclepias arenaria,"Sand Milkweed, Western Sand Milkweed",Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asclepias asperula,"Antelope-horns, Spider Milkweed, Green-flowered Milkweed, Spider Antelope-horns, Antelope Horns",Perennial,Herb,"Plant 1-2 ft tall. Follicles 4-13 cm long, 1-2.5 cm in diameter.",Medium,,"Prefers rocky or sandy soils of prairies, pastures, plains, hillsides, brushlands, and woodlands.","This plant is attractive to bees, butterflies and/or birds. This species of milkweed attracts huge bees as pollinators.",,,yes,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by cool moist stratification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,True
Asclepias exaltata,Poke Milkweed,Perennial,Herb,2-6 ft (60-182 cm) but can exceed 6 ft under favorable conditions.,,,Seems to require moderate moisture and rich organic content.,,,,,,,,,,,,Yes,3–4,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Danaus plexippus,Yes,,,Herb (perennial),True,True,True,False,False,False
Asclepias fascicularis,"Mexican Whorled Milkweed, Narrowleaf Milkweed",Perennial,Herb,Up to about 3 feet tall.,Low,,Dry to moist soils. Grows well in clay soils and on moderate slopes.,,,,yes,Sow seed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,True
Asclepias hirtella,"Green Milkweed, Tall Green Milkweed",Perennial,Herb,,,,,,,,,,Herbaceous perennial,Low,4.0,8.0,June,August,Yes,1–4,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,True,False,False,True,True
